iter,loss_d,loss_g,r_t,d_real,d_fake,fid
500,1.5951063210964203,0.4739999213945121,0.571875,0.3425671259034425,-0.4404270190037787,
1000,1.7930476288795472,0.2185641147568822,0.5119375,0.06369320123456418,-0.20801243367465214,
1500,1.804352644920349,0.21694391144253314,0.517875,0.06540117015130818,-0.18476456698961555,
2000,1.800615982055664,0.20707485431432723,0.536,0.0798758640754968,-0.16370563205704092,429.29275855106073
2500,1.8758777432441711,0.14368094200640916,0.485875,0.008686583295464515,-0.13832285716757178,
3000,1.9049985871315003,0.15019191782083363,0.4689375,-0.012332760101184248,-0.12355659534595907,
3500,1.9309069497585296,0.13670102638565004,0.45975,-0.028885028606280685,-0.1094817029926926,
4000,1.937798043012619,0.11543139968998731,0.457625,-0.030020291939377785,-0.10170928063988685,244.8921974909299
4500,1.9297415368556976,0.11024651999864728,0.4769375,-0.013013714948669076,-0.0924996274188161,
5000,1.9228233363628386,0.09872710637189448,0.5046875,0.007163088480010629,-0.08160106928832829,
5500,1.910114377260208,0.12792238384112717,0.4761875,-0.011598068957217038,-0.11603472854942083,
6000,1.9141685755252837,0.12921374575980007,0.484,-0.0023965872433036567,-0.10269679814949631,149.2210019067308
6500,1.9002521862983703,0.13902675204817205,0.471375,-0.015601807972416282,-0.13117586699314415,
7000,1.8918806114196778,0.13105921705067158,0.4905,0.009124008119106292,-0.11773299215361475,
7500,1.893128289937973,0.14105092724692075,0.478625,-0.003099904819391668,-0.12844897138886155,
8000,1.888955520629883,0.1461378655284643,0.491625,0.00849660969339311,-0.12104266162030398,153.81303819621303
8500,1.8890009903907776,0.1632571126203984,0.467375,-0.008166446616873145,-0.1361629821965471,
9000,1.8777443017959594,0.13648359097726642,0.487625,0.006125251775607467,-0.1349698548950255,
9500,1.8880837604999543,0.13957977686449885,0.481875,0.0032545637115836143,-0.12659035615902395,
10000,1.8795264616012572,0.14405243930220604,0.5035,0.02199020679295063,-0.11910174199007452,150.34092053917246
10500,1.8654650449752808,0.1296861067544669,0.5004375,0.01873365448601544,-0.13816763330809773,
11000,1.8770540699958802,0.16497327990457417,0.476,0.005732147761620581,-0.13722317055240274,
11500,1.8592102103233337,0.15980617196671665,0.4943125,0.02478870285395533,-0.14019325856491924,
12000,1.8532388255596162,0.15627134368382395,0.4903125,0.01476437982916832,-0.15732573348470033,156.04637588748963
12500,1.847223475933075,0.18224390782974662,0.486625,0.016649658778682352,-0.1637920860592276,
13000,1.8374120557308198,0.1846681223846972,0.4909375,0.01913903915695846,-0.17183254062756895,
13500,1.8342489655017853,0.18345234023034573,0.4979375,0.025703892543911935,-0.16779275558702647,
14000,1.8354155457019805,0.18504555277060716,0.4855,0.015172514388337732,-0.17803619423508643,147.68521586857221
14500,1.8268833751678466,0.18749364760704337,0.4980625,0.03381799419596791,-0.17079672632180154,
15000,1.8279502472877502,0.17815642903372644,0.498625,0.03059696882776916,-0.17402356548793613,
15500,1.8253987567424774,0.2000224407725036,0.4905,0.02755629725381732,-0.178238781273365,
16000,1.8255070345401765,0.22650789505243302,0.4634375,-0.0031078853346407412,-0.2085210061892867,140.9048674639099
16500,1.8204841997623444,0.18203576076962052,0.4876875,0.023822082785889508,-0.18755075910314917,
17000,1.8134449906349182,0.19794861816056072,0.4855,0.020373961098492144,-0.19708095261082054,
17500,1.8145856301784515,0.21292734192311763,0.482625,0.016964151720516383,-0.20329520455934108,
18000,1.807245371580124,0.20934031857550145,0.4859375,0.022092835051938892,-0.20655755020491778,136.22612276513541
18500,1.806397183418274,0.23303335568495095,0.483125,0.02473778919875622,-0.2041201388090849,
19000,1.8062768092155457,0.22697042198851705,0.4669375,0.004155075600370765,-0.22519612643308937,
19500,1.789800404548645,0.21687746475823225,0.4818125,0.022119651801884174,-0.22549071134440601,
20000,1.797484028339386,0.22617061026394367,0.474625,0.017349165802821517,-0.22331409383565187,136.509002573135
